instruction,name,description
need assistance to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can you help me cancel purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I can no longer afford purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need assistance canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I would like to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i do not want these article i try to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need help to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I have got to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
problems with cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need help canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
could ya help me cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
could you help me cancelling order {{Order Number}} ?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
cance order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
how to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help me cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
have a question about cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I can't afford purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I ordered some item, cancel purchase {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need help cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I can't afford order {{Order Number}}, help me cancelling it",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I do not know how I can cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I try to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
problem with cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I cannot pay for the last purchase I have made, cancel it",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help me cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
could you help me cancel purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want to cancle purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help me to cancel my  last goddamn purchase,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I have a problem witrh cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can  uhelp me canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
problems with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need assistancde cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I bought some item, cancel order {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
need help with cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I can't pay for this item, can I cancel order {{Order Number}}?",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need help cacneling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
where could I cancel purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i bought some damn item help to cancep order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
want assistance to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I have got to cancel purchase {{Order Number}}, help me",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
whag do i need to do to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want assistance canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I can no longer afford purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want assistance to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
cancelling order,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i want help cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
what do I have to do to cancel order {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can you help me to cancel purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need help cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I do not know how I can cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i want help to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
how do i cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I bought some articles, help me to cancel order {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
need assistance cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
where to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want help canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want help cancellkng purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need help with cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want assistance to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want assistance to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
need assistance cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
where can I cancel order {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
have problems with canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
where can I cancel order {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I can no longer pay for order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I can't afford purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I would like to cancel purchase {{Order Number}}, I need help",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i do not know how to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help with cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i want help cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I can no longer afford order {{Order Number}}, help me cancel it",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
need assistance canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I have problems with cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want assistance canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
would it be possible to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
could you help me canceling purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want help to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help with cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
cance order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can uhelp me cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
how could icancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need assistance canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i do not knwo how to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I have ordered some article, cancel purchase {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
need to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
have problems with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i no longer want purchase  {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
want help to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
question about canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
is it possible to cancel purchase {{Order Number}} ?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
have a question about cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need assistance to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need assistance cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need help with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
iwant assistance canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
have problems with canceling order  {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i wan help to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need help cancelling puchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I can no longer afford order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I have got to cancel purchase {{Order Number}}, how do I do it?",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need help with canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance with canceling oreder {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
problems with cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
is it possible to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need assistance cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i do not know how to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I no longer want purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can you help me cancelling purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need help cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I don't want purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I bought some items, I need help to cancel purchase {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
could you help me cancel purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
problem with cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
where do i cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
need help with cancelliing order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I have problems with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
is it possible to cancel order {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i havegot to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I cannot pay for this product, cancel order {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I don't know how I can cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
would you give me information about cancelling orders?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need assistance with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I can't afford my last item, cancel purchase {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I cannot afford order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
have problems with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I have a problem with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
question about canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I have got to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I can't afford order {{Order Number}}, could I cancel it?",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i dont know how to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I don't want this item, help me cancel purchase {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need assistance with canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
have a problem with cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I can't afford this product, cancel order {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
cancel purchase  {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
could you help me canceling purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i try to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can you help me cancelling order {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
what do I ned to do to cancel order {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need help to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I have bought some items, help canceling purchase {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need assistance canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I can't afford purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
canmcel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need help to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i can no longer afford order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I can no longer pay for order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i have problems with canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I have problems with cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I purchased some item, help canceling one of the orders",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need helpto cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
camceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i purchased some fucking item cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
want assistance to cancel pyrchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need assistance to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need help with canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I have ordered some item, cancel purchase {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i can no longer pay for purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need assistance canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I do not want this item, cancel order {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need assistance cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
ened help with cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need assistance cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can ya help me cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
want assistance cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
need help with canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I can no longer pay for purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
want assistance canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
is it possible to cancel purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
cance order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
what do I need to do to cancel purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want help cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i have a problem with cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i cant pay for order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can you help me cancelling order {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need help to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I have a problem with cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
canceling purechase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need help cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I dp not know how to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
what do I need to do to cancel order {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i dont know what to do to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
is it possible to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I am trying to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need help with cancellng order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want help cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want help cancellkng purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I can't afford order {{Order Number}}, help me cancelling it",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need assistance to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I have a problem with cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance canceling the last order,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I don't want this product, cancel purchase {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I cannot afford order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
problems with cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
need help canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i can no longer afford purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need help with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
how could I cancel purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i want help canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
asistance cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need assistance to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need help cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I do not know what to do tro cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need assistance canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
want help cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I don't know how I colud cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
where can i cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help me cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can you help me cancelong purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i dont know what to do to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i have problems with canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I can't afford order {{Order Number}}, could you cancel it?",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i want assistance cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i want help to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
what do I need to do to cancel purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i want help cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I do not know how to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I cannot afford my last item, how can I cancel the order?",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I don't want this item, cancel order {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I no longer want order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can you help me to cancel order {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I do not want this item, I try to cancel order {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
what do I have to do to cancel order {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I can no longer afford order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need help canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I have problems with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i want help canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I don't know how to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I do not want my last bloody item, cancel order {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
