instruction,name,description
I want help cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i have a problem with cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i cant pay for order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
can you help me cancelling order {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need help to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I have a problem with cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
canceling purechase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need help cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I dp not know how to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
what do I need to do to cancel order {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i dont know what to do to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
is it possible to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I am trying to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need help with cancellng order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
help canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I want help cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I want help cancellkng purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I can't afford order {{Order Number}}, help me cancelling it",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need assistance to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I have a problem with cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistance canceling the last order,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistance to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I don't want this product, cancel purchase {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistance cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I cannot afford order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
problems with cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
need help canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i can no longer afford purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need help with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
how could I cancel purchase {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i want help canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
asistance cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need assistance to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need help cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I do not know what to do tro cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need assistance canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
want help cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
help with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
